index,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
140,68,84,6,5,88.34,59.86,False,False,0,0,0,0,[],[]
141,68,107,6,6,88.34,78.83,False,False,0,0,0,0,[],[]
142,79,96,5,5,86.92,69.26,False,False,0,0,0,0,[],[]
143,79,149,5,7,86.92,56.91,False,False,0,0,0,0,[],[]
144,79,275,5,20,86.92,79.98,False,False,0,0,0,0,[],[]
145,79,257,5,15,86.92,85.75,False,False,0,0,0,0,[],[]
146,28,206,3,13,67.44,51.12,False,False,0,0,0,0,[],[]
147,28,467,3,21,67.44,51.11,False,False,0,0,0,0,[],[]
148,28,32,3,4,67.44,48.02,False,False,0,0,0,0,[],[]
149,28,110,3,8,67.44,69.06,False,False,0,0,0,0,[],[]
150,55,187,3,7,71.32,50.33,False,False,0,0,0,0,[],[]
151,55,275,3,14,71.32,65.38,False,False,0,0,0,0,[],[]
152,74,105,5,4,77.49,54.5,False,False,0,0,0,0,[],[]
153,20,101,2,6,65.56,77.51,False,False,0,0,0,0,[],[]
154,20,205,2,10,65.56,56.45,False,False,0,0,0,0,[],[]
155,52,322,4,15,78.13,39.49,False,False,0,0,0,2,[],[]
156,96,513,6,25,73.39,44.02,False,False,0,0,0,6,[],[]
157,11,47,2,2,93.58,51.58,False,False,0,0,0,0,[],[]
158,49,107,5,4,48.41,58.71,False,False,0,0,0,0,[],[]
159,49,298,5,27,48.41,58.8,False,False,0,0,0,0,[],[]
160,71,104,7,5,83.34,66.14,False,False,0,0,0,0,[],[]
161,52,169,9,10,88.71,68.04,True,False,0,0,0,0,[],[]
162,58,182,5,7,72.54,56.33,False,False,0,0,0,0,[],[]
163,58,348,5,24,72.54,65.95,False,False,0,0,0,0,[],[]
164,11,118,2,6,85.89,67.14,False,False,0,0,0,0,[],[]
165,11,337,2,18,85.89,62.31,False,False,0,0,0,0,[],[]
166,11,70,2,5,85.89,65.73,False,False,0,0,0,0,[],[]
167,11,169,2,7,85.89,59.69,False,True,0,0,0,0,[],[]
168,11,113,2,7,85.89,70.66,False,False,0,0,0,0,[],[]
169,11,76,2,9,85.89,81.38,False,False,0,0,0,0,[],[]
170,11,46,2,2,85.89,63.95,False,False,0,0,0,0,[],[]
171,14,173,2,5,78.87,21.1,False,True,0,0,0,0,[],[]
172,68,251,5,9,84.79,51.12,False,False,0,0,0,0,[],[]
173,68,104,5,5,84.79,62.08,False,False,0,0,0,0,[],[]
174,68,93,5,5,84.79,39.68,False,False,0,0,0,0,[],[]
175,68,62,5,6,84.79,66.72,False,False,0,0,0,0,[],[]
176,68,158,5,11,84.79,54.11,False,False,0,0,0,0,[],[]
177,68,686,5,36,84.79,69.6,False,False,0,0,0,0,[],[]
178,68,187,5,10,84.79,68.42,False,False,0,0,0,0,[],[]
179,68,195,5,8,84.79,58.45,False,False,0,0,0,0,[],[]
180,49,177,5,11,79.48,65.75,False,False,0,0,0,0,[],[]
181,69,214,6,10,68.88,62.56,False,False,0,0,0,0,[],[]
182,67,129,7,5,79.69,65.22,False,False,0,0,0,0,[],[]
183,73,42,5,3,87.71,83.85,False,False,0,0,0,0,[],[]
184,79,115,5,6,77.28,68.21,False,False,0,0,0,0,[],[]
185,28,225,2,15,95.94,62.27,False,False,0,0,0,0,[],[]
186,28,114,2,4,95.94,53.98,False,False,0,0,0,0,[],[]
187,13,208,1,12,56.98,65.19,False,False,0,0,0,0,[],[]
188,13,297,1,14,56.98,60.82,False,False,0,0,0,0,[],[]
189,13,222,1,12,56.98,37.91,False,False,0,0,0,0,[],[]
190,30,103,3,6,89.53,52.24,False,False,0,0,0,0,[],[]
191,30,127,3,6,89.53,64.11,False,False,0,0,0,0,[],[]
192,30,392,3,23,89.53,61.56,False,False,0,0,0,0,[],[]
193,43,128,3,6,86.04,61.59,False,False,0,0,0,0,[],[]
194,43,88,3,6,86.04,77.55,False,False,0,0,0,0,[],[]
195,38,359,3,23,84.89,64.21,False,False,0,0,0,0,[],[]
196,38,90,3,3,84.89,47.61,False,False,0,0,0,0,[],[]
197,50,87,6,6,63.02,72.51,False,False,0,0,0,0,[],[]
